Time - based data,,,,,,,,,Mass aggregated data,,,,,,
Date-time,"LC
kg","LC change
kg","LC flux (30 s)
kg/sm","d
cm","US1
pulses",1kg sum,1kg index,,1kg index,,"LC
kg","LC change
kg","LC flux
kg/sm","L7
cm","US1
pulses"
12/11/2013 23:58:00,0.029397,0.0,0.0,56.9,295,0.0,1,,1,12/12/2013 0:00,1.30,0,,0,0
12/11/2013 23:58:30,0.271035,0.2,0.1,56.7,255,0.2,1,,2,12/12/2013 0:02,2.49,1.19,0.09,0,0
12/11/2013 23:59:00,0.626709,0.4,0.1,56.7,272,0.6,1,,3,12/12/2013 0:04,3.65,1.15,0.09,0,0
12/11/2013 23:59:30,1.008832,0.4,0.1,56.8,221,1.0,1,,4,12/12/2013 0:05,4.66,1.01,0.10,0,0
12/12/2013 00:00:00,1.303752,0.3,0.1,56.7,230,1.3,1,,5,12/12/2013 0:07,5.90,1.25,0.13,0,0
12/12/2013 00:00:30,1.673890,0.4,0.1,56.7,274,0.4,2,,6,12/12/2013 0:08,7.25,1.35,0.14,0,0
12/12/2013 00:01:00,1.922267,0.2,0.1,56.6,286,0.6,2,,7,12/12/2013 0:09,8.34,1.09,0.17,0,0
12/12/2013 00:01:30,2.265886,0.3,0.1,56.7,283,1.0,2,,8,12/12/2013 0:11,9.75,1.42,0.14,0,0
12/12/2013 00:02:00,2.494657,0.2,0.1,56.5,294,1.2,2,,9,12/12/2013 0:12,11.00,1.24,0.19,0,0
12/12/2013 00:02:30,2.740011,0.2,0.1,56.4,273,0.2,3,,10,12/12/2013 0:13,12.16,1.16,0.18,0,0
12/12/2013 00:03:00,3.039252,0.3,0.1,56.3,284,0.5,3,,11,12/12/2013 0:14,13.41,1.26,0.19,0,0
12/12/2013 00:03:30,3.407551,0.4,0.1,56.0,289,0.9,3,,12,12/12/2013 0:15,14.74,1.33,0.20,0,0
12/12/2013 00:04:00,3.648546,0.2,0.1,55.8,300,1.2,3,,13,12/12/2013 0:16,16.06,1.31,0.20,0,0
12/12/2013 00:04:30,3.911977,0.3,0.1,55.7,278,0.3,4,,14,12/12/2013 0:17,17.38,1.33,0.20,0,0
12/12/2013 00:05:00,4.343797,0.4,0.1,55.5,321,0.7,4,,15,12/12/2013 0:18,18.67,1.28,0.19,0,0
12/12/2013 00:05:30,4.656618,0.3,0.1,55.4,272,1.0,4,,16,12/12/2013 0:19,19.76,1.10,0.17,0,0
12/12/2013 00:06:00,5.123615,0.5,0.1,55.5,322,0.5,5,,17,12/12/2013 0:20,21.22,1.46,0.15,0,0
12/12/2013 00:06:30,5.425759,0.3,0.1,55.1,329,0.8,5,,18,12/12/2013 0:22,22.64,1.41,0.14,0,0
12/12/2013 00:07:00,5.901873,0.5,0.1,55.1,341,1.2,5,,19,12/12/2013 0:23,23.91,1.27,0.13,0,0
12/12/2013 00:07:30,6.379673,0.5,0.1,55.0,321,0.5,6,,20,12/12/2013 0:25,25.31,1.40,0.14,0,0
12/12/2013 00:08:00,6.821696,0.4,0.1,54.9,294,0.9,6,,21,12/12/2013 0:27,26.60,1.29,0.10,0,0
12/12/2013 00:08:30,7.249256,0.4,0.1,54.6,349,1.3,6,,22,12/12/2013 0:29,27.75,1.16,0.07,0,0
12/12/2013 00:09:00,7.789042,0.5,0.2,54.7,316,0.5,7,,23,12/12/2013 0:32,28.97,1.22,0.07,0,0
12/12/2013 00:09:30,8.338421,0.5,0.2,54.5,385,1.1,7,,24,12/12/2013 0:34,29.98,1.01,0.08,0,0
12/12/2013 00:10:00,8.726854,0.4,0.1,54.2,327,0.4,8,,25,12/12/2013 0:37,31.13,1.15,0.05,0,0
12/12/2013 00:10:30,9.279896,0.6,0.2,54.0,354,0.9,8,,26,12/12/2013 0:40,32.29,1.15,0.06,0,0
12/12/2013 00:11:00,9.754594,0.5,0.1,53.7,371,1.4,8,,27,12/12/2013 0:43,33.33,1.05,0.05,0,0
12/12/2013 00:11:30,10.426149,0.7,0.2,53.8,359,0.7,9,,28,12/12/2013 0:47,34.41,1.08,0.04,0,0
12/12/2013 00:12:00,10.995783,0.6,0.2,53.5,354,1.2,9,,29,12/12/2013 0:51,35.43,1.02,0.04,0,0
12/12/2013 00:12:30,11.565582,0.6,0.2,53.4,338,0.6,10,,30,12/12/2013 0:55,36.49,1.06,0.04,0,0
12/12/2013 00:13:00,12.157223,0.6,0.2,53.2,360,1.2,10,,31,12/12/2013 1:01,37.51,1.02,0.02,0,0
12/12/2013 00:13:30,12.801539,0.6,0.2,53.2,308,0.6,11,,32,12/12/2013 1:50,38.63,1.12,0.00,0,0
12/12/2013 00:14:00,13.414549,0.6,0.2,53.0,338,1.3,11,,33,12/12/2013 1:53,39.70,1.07,0.05,0,0
12/12/2013 00:14:30,14.040265,0.6,0.2,52.7,326,0.6,12,,34,12/12/2013 1:57,40.79,1.10,0.04,0,0
12/12/2013 00:15:00,14.741840,0.7,0.2,52.5,341,1.3,12,,35,12/12/2013 2:00,41.82,1.02,0.05,0,0
12/12/2013 00:15:30,15.368831,0.6,0.2,52.3,333,0.6,13,,36,12/12/2013 2:03,42.89,1.08,0.05,0,0
12/12/2013 00:16:00,16.055236,0.7,0.2,52.2,365,1.3,13,,37,12/12/2013 2:06,44.06,1.17,0.06,0,0
12/12/2013 00:16:30,16.719492,0.7,0.2,52.1,360,0.7,14,,38,12/12/2013 2:09,45.21,1.15,0.07,0,0
12/12/2013 00:17:00,17.384831,0.7,0.2,52.0,361,1.3,14,,39,12/12/2013 2:11,46.24,1.03,0.06,0,0
12/12/2013 00:17:30,18.031294,0.6,0.2,51.7,301,0.6,15,,40,12/12/2013 2:13,47.25,1.00,0.08,0,0
12/12/2013 00:18:00,18.665562,0.6,0.2,51.6,320,1.3,15,,41,12/12/2013 2:15,48.56,1.32,0.10,0,0
12/12/2013 00:18:30,19.248298,0.6,0.2,51.6,353,0.6,16,,42,12/12/2013 2:17,49.65,1.08,0.11,0,0
12/12/2013 00:19:00,19.763153,0.5,0.2,51.1,343,1.1,16,,43,12/12/2013 2:18,50.76,1.11,0.11,0,0
12/12/2013 00:19:30,20.282656,0.5,0.2,51.1,372,0.5,17,,44,12/12/2013 2:20,52.02,1.26,0.13,0,0
12/12/2013 00:20:00,20.747941,0.5,0.1,50.8,340,1.0,17,,45,12/12/2013 2:21,53.47,1.45,0.15,0,0
12/12/2013 00:20:30,21.224332,0.5,0.1,50.4,317,1.5,17,,46,12/12/2013 2:22,54.69,1.22,0.19,0,0
12/12/2013 00:21:00,21.723185,0.5,0.2,50.4,329,0.5,18,,47,12/12/2013 2:23,56.02,1.33,0.20,0,0
12/12/2013 00:21:30,22.181689,0.5,0.1,50.1,337,1.0,18,,48,12/12/2013 2:24,57.38,1.37,0.21,0,0
12/12/2013 00:22:00,22.635646,0.5,0.1,50.0,385,1.4,18,,49,12/12/2013 2:25,58.69,1.31,0.20,0,0
12/12/2013 00:22:30,23.035598,0.4,0.1,50.0,359,0.4,19,,50,12/12/2013 2:26,60.15,1.46,0.22,0,0
12/12/2013 00:23:00,23.443457,0.4,0.1,49.6,346,0.8,19,,51,12/12/2013 2:27,61.69,1.55,0.23,0,0
12/12/2013 00:23:30,23.908954,0.5,0.1,49.4,355,1.3,19,,52,12/12/2013 2:28,63.29,1.60,0.24,0,0
12/12/2013 00:24:00,24.394645,0.5,0.1,49.2,304,0.5,20,,53,12/12/2013 2:29,64.93,1.64,0.25,0,0
12/12/2013 00:24:30,24.839127,0.4,0.1,48.9,313,0.9,20,,54,12/12/2013 2:30,66.65,1.72,0.26,0,0
12/12/2013 00:25:00,25.307615,0.5,0.1,48.9,298,1.4,20,,55,12/12/2013 2:31,68.44,1.79,0.27,0,0
12/12/2013 00:25:30,25.663498,0.4,0.1,48.6,306,0.4,21,,56,12/12/2013 2:32,70.05,1.61,0.24,0,0
12/12/2013 00:26:00,25.989743,0.3,0.1,48.4,315,0.7,21,,57,12/12/2013 2:33,71.66,1.62,0.25,0,0
12/12/2013 00:26:30,26.303154,0.3,0.1,48.3,326,1.0,21,,58,12/12/2013 2:34,73.09,1.42,0.22,0,0
12/12/2013 00:27:00,26.599021,0.3,0.1,48.1,323,1.3,21,,59,12/12/2013 2:35,74.54,1.45,0.22,0,0
12/12/2013 00:27:30,26.903975,0.3,0.1,47.7,314,0.3,22,,60,12/12/2013 2:36,75.90,1.36,0.21,0,0
12/12/2013 00:28:00,27.136616,0.2,0.1,47.6,284,0.5,22,,61,12/12/2013 2:37,77.27,1.36,0.21,0,0
12/12/2013 00:28:30,27.365467,0.2,0.1,47.3,287,0.8,22,,62,12/12/2013 2:38,78.60,1.33,0.20,0,0
12/12/2013 00:29:00,27.578120,0.2,0.1,47.0,272,1.0,22,,63,12/12/2013 2:39,80.06,1.47,0.22,0,0
12/12/2013 00:29:30,27.754317,0.2,0.1,46.8,261,1.2,22,,64,12/12/2013 2:40,81.24,1.18,0.18,0,0
12/12/2013 00:30:00,27.985266,0.2,0.1,46.5,287,0.2,23,,65,12/12/2013 2:41,82.43,1.19,0.18,0,0
12/12/2013 00:30:30,28.290765,0.3,0.1,46.4,292,0.5,23,,66,12/12/2013 2:42,83.44,1.01,0.15,0,0
12/12/2013 00:31:00,28.483791,0.2,0.1,46.1,279,0.7,23,,67,12/12/2013 2:43,84.46,1.03,0.16,0,0
12/12/2013 00:31:30,28.705394,0.2,0.1,45.9,291,1.0,23,,68,12/12/2013 2:44,85.82,1.36,0.21,0,0
12/12/2013 00:32:00,28.969807,0.3,0.1,45.7,268,1.2,23,,69,12/12/2013 2:45,87.50,1.67,0.25,0,0
12/12/2013 00:32:30,29.189717,0.2,0.1,45.4,297,0.2,24,,70,12/12/2013 2:46,88.95,1.46,0.22,0,0
12/12/2013 00:33:00,29.506910,0.3,0.1,45.4,314,0.5,24,,71,12/12/2013 2:47,90.62,1.66,0.25,0,0
12/12/2013 00:33:30,29.707143,0.2,0.1,45.2,333,0.7,24,,72,12/12/2013 2:48,92.58,1.96,0.30,0,0
12/12/2013 00:34:00,29.981275,0.3,0.1,44.9,332,1.0,24,,73,12/12/2013 2:49,93.78,1.21,0.37,0,0
12/12/2013 00:34:30,30.212376,0.2,0.1,44.7,332,0.2,25,,74,12/12/2013 2:49,95.33,1.55,0.47,0,0
12/12/2013 00:35:00,30.326132,0.1,0.0,44.5,356,0.3,25,,75,12/12/2013 2:50,97.20,1.86,0.57,0,0
12/12/2013 00:35:30,30.464307,0.1,0.0,44.2,345,0.5,25,,76,12/12/2013 2:50,99.10,1.90,0.58,0,0
12/12/2013 00:36:00,30.662319,0.2,0.1,44.1,344,0.7,25,,77,12/12/2013 2:51,101.39,2.30,0.70,0,0
12/12/2013 00:36:30,30.810300,0.1,0.0,43.8,314,0.8,25,,78,12/12/2013 2:51,103.69,2.29,0.69,0,0
12/12/2013 00:37:00,30.940371,0.1,0.0,43.5,304,1.0,25,,79,12/12/2013 2:52,105.62,1.94,0.59,0,0
12/12/2013 00:37:30,31.132501,0.2,0.1,43.5,302,1.2,25,,80,12/12/2013 2:52,107.63,2.00,0.61,0,0
12/12/2013 00:38:00,31.243837,0.1,0.0,43.2,269,0.1,26,,81,12/12/2013 2:53,109.11,1.48,0.45,0,0
12/12/2013 00:38:30,31.461114,0.2,0.1,43.1,274,0.3,26,,82,12/12/2013 2:53,110.18,1.07,0.33,0,0
12/12/2013 00:39:00,31.595904,0.1,0.0,42.7,210,0.5,26,,83,12/12/2013 2:54,111.61,1.43,0.22,0,0
12/12/2013 00:39:30,31.825261,0.2,0.1,42.7,251,0.7,26,,84,12/12/2013 2:55,112.70,1.08,0.16,0,0
12/12/2013 00:40:00,32.094301,0.3,0.1,42.7,232,1.0,26,,85,12/12/2013 2:56,113.71,1.01,0.15,0,0
12/12/2013 00:40:30,32.285489,0.2,0.1,42.5,259,1.2,26,,86,12/12/2013 2:57,115.31,1.60,0.24,0,0
12/12/2013 00:41:00,32.497898,0.2,0.1,42.2,251,0.2,27,,87,12/12/2013 2:58,117.04,1.72,0.26,0,0
12/12/2013 00:41:30,32.687547,0.2,0.1,42.1,249,0.4,27,,88,12/12/2013 3:06,119.08,2.04,0.04,0,0
12/12/2013 00:42:00,32.859205,0.2,0.1,42.0,249,0.6,27,,89,12/12/2013 3:06,120.32,1.24,0.38,0,0
12/12/2013 00:42:30,33.017686,0.2,0.0,41.8,259,0.7,27,,90,12/12/2013 3:07,121.80,1.47,0.45,0,0
12/12/2013 00:43:00,33.160849,0.1,0.0,41.6,239,0.9,27,,91,12/12/2013 3:07,123.51,1.72,0.52,0,0
12/12/2013 00:43:30,33.331034,0.2,0.1,41.4,172,1.0,27,,92,12/12/2013 3:08,125.07,1.56,0.47,0,0
12/12/2013 00:44:00,33.439196,0.1,0.0,41.2,199,0.1,28,,93,12/12/2013 3:08,126.64,1.56,0.47,0,0
12/12/2013 00:44:30,33.550617,0.1,0.0,41.0,190,0.2,28,,94,12/12/2013 3:09,128.35,1.71,0.52,0,0
12/12/2013 00:45:00,33.638029,0.1,0.0,40.9,198,0.3,28,,95,12/12/2013 3:09,130.12,1.77,0.54,0,0
12/12/2013 00:45:30,33.816849,0.2,0.1,40.8,165,0.5,28,,96,12/12/2013 3:10,131.91,1.79,0.54,0,0
12/12/2013 00:46:00,33.970344,0.2,0.0,40.7,195,0.6,28,,97,12/12/2013 3:10,133.53,1.62,0.49,0,0
12/12/2013 00:46:30,34.143175,0.2,0.1,40.5,141,0.8,28,,98,12/12/2013 3:11,135.59,2.06,0.63,0,0
12/12/2013 00:47:00,34.255743,0.1,0.0,40.4,191,0.9,28,,99,12/12/2013 3:11,137.61,2.02,0.61,0,0
12/12/2013 00:47:30,34.407081,0.2,0.0,40.2,177,1.1,28,,100,12/12/2013 3:12,139.60,1.99,0.60,0,0
12/12/2013 00:48:00,34.625824,0.2,0.1,40.1,152,0.2,29,,101,12/12/2013 3:12,141.57,1.96,0.60,0,0
12/12/2013 00:48:30,34.772829,0.1,0.0,39.8,159,0.4,29,,102,12/12/2013 3:13,144.03,2.46,0.75,0,0
12/12/2013 00:49:00,35.004403,0.2,0.1,39.8,146,0.6,29,,103,12/12/2013 3:13,146.57,2.54,0.77,0,0
12/12/2013 00:49:30,35.126778,0.1,0.0,39.7,153,0.7,29,,104,12/12/2013 3:14,148.97,2.40,0.73,0,0
12/12/2013 00:50:00,35.276066,0.1,0.0,39.3,125,0.9,29,,105,12/12/2013 3:14,151.58,2.61,0.79,0,0
12/12/2013 00:50:30,35.326453,0.1,0.0,39.4,157,0.9,29,,106,12/12/2013 3:15,154.15,2.57,0.78,0,0
12/12/2013 00:51:00,35.426769,0.1,0.0,39.1,109,1.0,29,,107,12/12/2013 3:15,156.74,2.59,0.79,0,0
12/12/2013 00:51:30,35.527970,0.1,0.0,39.2,103,0.1,30,,108,12/12/2013 3:16,159.25,2.51,0.76,0,0
12/12/2013 00:52:00,35.685210,0.2,0.0,39.1,107,0.3,30,,109,12/12/2013 3:16,162.22,2.98,0.90,0,0
12/12/2013 00:52:30,35.796446,0.1,0.0,39.0,58,0.4,30,,110,12/12/2013 3:17,165.39,3.17,0.96,0,0
12/12/2013 00:53:00,35.914467,0.1,0.0,38.7,85,0.5,30,,111,12/12/2013 3:17,168.40,3.01,0.91,0,0
12/12/2013 00:53:30,36.062811,0.1,0.0,38.6,90,0.6,30,,112,12/12/2013 3:18,171.11,2.71,0.82,0,0
12/12/2013 00:54:00,36.159718,0.1,0.0,38.5,66,0.7,30,,113,12/12/2013 3:18,174.08,2.97,0.90,0,0
12/12/2013 00:54:30,36.308688,0.1,0.0,38.3,76,0.9,30,,114,12/12/2013 3:19,177.34,3.26,0.99,0,0
12/12/2013 00:55:00,36.486626,0.2,0.1,38.4,53,1.1,30,,115,12/12/2013 3:19,180.58,3.24,0.98,0,0
12/12/2013 00:55:30,36.657157,0.2,0.1,38.4,95,0.2,31,,116,12/12/2013 3:20,183.61,3.02,0.92,0,0
12/12/2013 00:56:00,36.730366,0.1,0.0,38.3,74,0.2,31,,117,12/12/2013 3:20,186.58,2.97,0.90,0,0
12/12/2013 00:56:30,36.837617,0.1,0.0,38.1,93,0.4,31,,118,12/12/2013 3:21,189.55,2.97,0.90,0,0
12/12/2013 00:57:00,36.891353,0.1,0.0,38.1,103,0.4,31,,119,12/12/2013 3:21,192.32,2.77,0.84,0,0
12/12/2013 00:57:30,37.016097,0.1,0.0,38.0,108,0.5,31,,120,12/12/2013 3:22,194.96,2.64,0.80,0,0
12/12/2013 00:58:00,37.120365,0.1,0.0,37.8,108,0.6,31,,121,12/12/2013 3:22,197.88,2.92,0.89,0,0
12/12/2013 00:58:30,37.188246,0.1,0.0,37.8,67,0.7,31,,122,12/12/2013 3:23,200.84,2.96,0.90,0,0
12/12/2013 00:59:00,37.226717,0.0,0.0,37.7,46,0.7,31,,123,12/12/2013 3:23,203.36,2.52,0.76,0,0
12/12/2013 00:59:30,37.236931,0.0,0.0,37.7,111,0.8,31,,124,12/12/2013 3:24,205.81,2.45,0.74,0,0
